"userid","total_deposited","total_stakes","play_ratio_pct"
47811,1599.00,35.38,2.21
12885,1587.00,0,0.00
3539,1585.00,0.21,0.01
52419,1585.00,0,0.00
41146,1581.65,0.00,0.00
30586,1564.88,55.67,3.56
8289,1559.70,0,0.00
70390,1559.00,69.07,4.43
5277,1553.45,106.47,6.85
49880,1536.57,63.00,4.10
29719,1533.88,29.16,1.90
28756,1532.83,0,0.00
31532,1532.00,218.27,14.25
148,1530.00,336.65,22.00
60291,1520.00,49.15,3.23
40297,1517.05,0,0.00
3512,1516.28,131.54,8.68
49112,1515.00,32.63,2.15
57438,1510.62,0.00,0.00
69123,1509.13,24.37,1.61
50723,1505.49,56.65,3.76
44257,1502.00,0,0.00
28834,1500.00,1.43,0.10
9520,1494.48,32.40,2.17
2863,1490.00,464.55,31.18
53326,1480.00,15.94,1.08
14626,1475.00,341.12,23.13
21835,1475.00,72.41,4.91
4423,1468.00,71.03,4.84
64155,1464.90,9.86,0.67
38552,1464.71,0,0.00
13994,1463.56,0.41,0.03
22215,1457.84,13.94,0.96
35852,1455.50,94.54,6.50
70600,1450.00,2.19,0.15
31433,1448.30,0,0.00
64854,1445.22,43.66,3.02
14131,1440.00,0.09,0.01
27592,1437.30,6.76,0.47
37262,1435.00,6.66,0.46
19186,1426.13,135.03,9.47
4111,1425.00,76.72,5.38
3048,1423.00,252.55,17.75
15057,1420.00,0,0.00
9189,1413.72,17.20,1.22
33104,1413.40,130.24,9.21
61762,1410.75,71.08,5.04
55339,1408.65,100.89,7.16
14730,1403.19,0,0.00
29121,1401.64,2.88,0.21
54424,1400.00,0,0.00
51206,1399.44,0,0.00
19435,1398.80,0,0.00
11724,1395.00,7.16,0.51
24186,1394.49,349.89,25.09
55212,1385.09,0,0.00
37973,1382.90,110.99,8.03
12155,1382.00,56.29,4.07
50650,1375.00,6.43,0.47
43253,1372.33,0,0.00
62207,1370.00,0,0.00
46818,1369.86,0.59,0.04
57115,1368.89,102.71,7.50
47926,1360.00,0,0.00
27031,1349.37,175.86,13.03
12124,1345.00,27.48,2.04
42340,1342.48,28.27,2.11
45205,1330.37,0.29,0.02
46991,1326.00,125.02,9.43
57524,1325.27,0,0.00
38583,1321.75,78.63,5.95
70917,1320.16,225.72,17.10
22087,1319.65,52.02,3.94
12750,1315.00,0,0.00
23007,1315.00,0,0.00
3796,1310.00,28.56,2.18
56189,1300.53,1.55,0.12
1261,1298.83,320.27,24.66
66102,1295.00,0,0.00
12364,1290.00,157.32,12.20
60299,1290.00,13.06,1.01
50632,1286.81,3.92,0.30
65530,1285.00,163.43,12.72
66055,1283.11,35.80,2.79
64833,1275.00,59.49,4.67
68363,1270.00,0,0.00
12128,1268.00,39.39,3.11
7921,1264.00,417.88,33.06
70761,1261.96,153.44,12.16
43288,1261.00,28.13,2.23
7804,1248.25,319.61,25.60
17436,1245.00,127.27,10.22
69049,1245.00,0,0.00
1580,1243.63,0.02,0.00
900,1230.20,96.81,7.87
28725,1225.64,80.50,6.57
23119,1224.00,90.50,7.39
2186,1222.00,0,0.00
27665,1215.00,22.93,1.89
32354,1215.00,522.79,43.03
32175,1213.27,142.65,11.76
51764,1210.00,6.47,0.53
12837,1207.00,0,0.00
23243,1206.18,28.56,2.37
64221,1203.60,14.12,1.17
53916,1201.00,216.81,18.05
55488,1193.40,0,0.00
32356,1192.51,18.47,1.55
51690,1190.00,12.10,1.02
31251,1185.60,0,0.00
9717,1183.02,0,0.00
52628,1181.18,190.60,16.14
7866,1180.00,242.45,20.55
20443,1177.20,300.97,25.57
47259,1173.29,39.39,3.36
51105,1164.00,539.92,46.38
6196,1160.00,38.65,3.33
2152,1158.50,160.16,13.82
71955,1155.00,19.57,1.69
67545,1154.00,301.74,26.15
6343,1153.48,0.67,0.06
33886,1151.53,108.77,9.45
14482,1145.38,15.27,1.33
39752,1145.00,207.77,18.15
68562,1137.00,126.96,11.17
7958,1137.00,106.43,9.36
7237,1135.40,14.03,1.24
11846,1135.00,4.98,0.44
41547,1127.00,36.75,3.26
19008,1125.00,0,0.00
63097,1120.00,412.18,36.80
17537,1120.00,0,0.00
8357,1112.29,33.31,2.99
31634,1111.00,7.16,0.64
43990,1110.00,71.91,6.48
55055,1105.00,0,0.00
23474,1103.88,7.15,0.65
17777,1101.38,0.40,0.04
62141,1098.07,0,0.00
17316,1091.02,161.03,14.76
