"UserID","Date","Trnmnts","StakesT","WinningsT"
429,2015-02-25,9,10.59229,1.49175
429,2015-02-26,7,31.71247,90.07223
429,2015-02-27,10,29.16738,2.02404
429,2015-02-28,11,36.94535,35.13347
429,2015-03-01,6,17.6772,8.04313
429,2015-03-02,15,49.23603,17.98767
429,2015-03-03,4,16.80073,0
429,2015-03-05,7,1.97558,2.29887
429,2015-03-06,3,0.43439,0.1629
429,2015-03-07,2,3.6199,0
429,2015-03-10,4,14.74112,0
429,2015-03-11,1,1.85632,0
429,2015-03-12,1,0.94065,4.8067
429,2015-03-13,1,4.7259,12.57089
429,2015-03-15,1,1.89036,0
429,2015-03-16,4,9.53016,49.67121
429,2015-03-17,5,28.46569,0
429,2015-03-19,2,6.61126,12.89195
429,2015-03-20,5,20.50708,31.31991
429,2015-03-21,3,11.18568,12.4534
429,2015-03-22,3,4.6607,2.51678
429,2015-03-23,4,23.11176,1.84894
429,2015-03-25,3,5.48547,0
429,2015-03-26,6,23.75079,8.31278
429,2015-03-27,4,8.21094,0
429,2015-03-28,3,10.03559,20.05291
429,2015-03-29,1,9.12326,0
429,2015-03-30,7,30.31139,4.44567
429,2015-03-31,3,3.68664,1.41014
429,2015-04-01,1,4.64166,0
429,2015-04-04,2,0.55453,0
429,2015-04-05,3,8.31793,3.32717
429,2015-04-06,1,4.62107,0
429,2015-04-08,1,4.59221,0
429,2015-04-09,2,4.86774,0
429,2015-04-25,2,1.86098,1.58184
429,2015-05-08,2,0.53009,0.79512
429,2015-05-10,1,0.88347,0
429,2015-05-11,7,6.69764,1.60743
429,2015-05-12,3,4.47989,3.43159
429,2015-05-14,3,3.54861,2.51065
429,2015-05-16,2,2.63574,1.58144
429,2015-05-17,12,14.93586,7.90722
429,2015-05-18,1,0.87382,1.57288
429,2015-05-21,4,6.29609,1.37615
429,2015-05-24,2,4.94515,0
429,2015-05-25,1,4.49559,0
429,2015-05-26,4,9.1058,0
429,2015-05-28,1,1.83722,3.307
429,2015-05-29,3,4.58043,2.47343
429,2015-05-31,1,0.91609,1.55735
429,2015-06-01,1,1.82017,6.03386
429,2015-06-02,1,0.91433,0
429,2015-06-05,3,5.32056,0
429,2015-06-08,1,1.80034,0
429,2015-06-12,1,1.77415,0
429,2015-06-26,2,3.5711,3.214
